gene,shap_importance
FSIP2,0.0007252749
SCN3A,0.0007233313
SLITRK3,0.0007197765
CTTNBP2,0.00071728346
ANKRD30A,0.00071503455
PRRC2A,0.00070769
EIF4G3,0.00070644834
SRRM2,0.00070250814
ZNF479,0.0006965743
MYOCD,0.0006943377
ALPK3,0.00069261965
EPHB1,0.0006864049
PCDHB7,0.00068613066
TRIOBP,0.00068477454
GFRAL,0.00067905744
KMT2E,0.0006763021
SLCO1B1,0.0006749549
NLRP2,0.0006746743
PLB1,0.0006694956
BCL9L,0.0006690052
MUC4,0.00066231884
PTPRZ1,0.0006612211
PCDHA5,0.00065490947
NCOA3,0.00065212045
SIPA1L2,0.00064947124
IFT172,0.0006494571
PCDHB8,0.0006490783
ABCA9,0.00064099446
STYXL2,0.00063977105
MAP2,0.00063911034
GLI2,0.00063752435
ATP9A,0.0006362001
SDK2,0.00063224934
A1CF,0.00063142687
KIAA1755,0.00062588387
LAMC1,0.0006221287
CELSR2,0.00062189705
SNCAIP,0.00061671616
LRRK2,0.00061367644
SGIP1,0.0006131626
CNKSR2,0.000611781
USP6,0.00061089685
DOP1A,0.00060869043
NES,0.00060502806
MIA3,0.0006047697
ADAMTS16,0.0005973452
STAG2,0.00059734186
CTNND2,0.0005944807
PCDHGB2,0.0005939794
SPATA31A1,0.00059364643
KCNH5,0.0005929801
SVIL,0.00059228414
PRKCB,0.0005922699
TIAM1,0.0005884487
LRBA,0.0005846706
PCDHB12,0.00058448495
HIVEP3,0.0005829849
RNF213,0.00058240205
WNK1,0.00057674095
ZNF521,0.0005745226
OR4C15,0.00057420845
STK31,0.0005623972
SLC9A4,0.00056189107
ADAMTS7,0.00055922463
FLNA,0.0005545498
THSD7A,0.0005536748
NOTCH1,0.00055204466
KANK4,0.0005453906
CNTNAP2,0.000544665
ARFGEF1,0.00054241903
DNAH1,0.0005416426
PCDHB2,0.0005387609
KLHL4,0.0005383029
NLRP4,0.0005356725
CEP170,0.0005356262
ZC3H13,0.00052809785
SAMD9L,0.000525401
CACNA1A,0.0005175271
GOLGB1,0.00051384646
CPAMD8,0.000513203
PATJ,0.0005074944
CACNA1D,0.00050728983
MAGEB6B,0.0005041449
RALGAPA2,0.0005038998
ADGRL2,0.0005034951
UBR5,0.00050308934
KIAA1549,0.0005030758
NLRP7,0.00049525267
SPTBN5,0.00048579244
SLC8A3,0.00047898805
OTOGL,0.00047762913
GCN1,0.0004752575
NAV2,0.00047520007
SMCHD1,0.00047425364
MYO3B,0.00047404517
KSR2,0.00047385966
SPTBN2,0.00047244795
COL2A1,0.00046897164
SLITRK1,0.0004679717
CRYBG1,0.00046474024
HHIPL2,0.00046330094
CCNB3,0.00046217412
PLCB1,0.00046155867
ATP8B4,0.00045764653
ARHGAP36,0.00045606997
SLITRK5,0.00045555993
TMEM200A,0.00045443035
CDH19,0.0004491387
ZNF407,0.00044466657
SCN7A,0.00044432003
NCOR2,0.00043971275
NCAN,0.00043881408
CTNNA3,0.00043658828
CCDC141,0.00043564543
STXBP5L,0.0004327841
TMEM132B,0.00043052156
CACNA2D1,0.00043016498
RBBP6,0.0004282336
TJP1,0.00042783993
TMPRSS15,0.0004278036
UNC13A,0.0004228548
LAMC3,0.00042049796
MED13,0.00041817618
FHOD3,0.00041527205
ASXL1,0.00041501445
PCSK5,0.00040910227
ZNF462,0.00040884956
CYLC1,0.00040756547
BRINP2,0.00040537954
MED12L,0.00040470195
EP400,0.0004018789
PHKA1,0.00040050442
DLGAP2,0.00039966783
NAALAD2,0.00039953506
TRPM3,0.0003986819
NLRP13,0.0003938722
MED13L,0.00039366767
ITPR2,0.00038988946
TRPC6,0.00038963326
RGS12,0.0003878405
PIK3C2G,0.00038644255
ARHGAP32,0.00038488145
OR6F1,0.00038451905
MME,0.00038428296
MUC3A,0.00038320926
CCDC73,0.0003811319
PTPRK,0.00037779313
LPA,0.00037683023
ABCB4,0.0003764342
TRPC5,0.00037623433
TNC,0.00037622874
EYS,0.00037611986
TMC5,0.00037334693
UTP20,0.0003706454
ADGRL4,0.0003670614
DIP2C,0.0003635677
FILIP1,0.00035983595
L1CAM,0.0003593597
UMODL1,0.0003587872
NEBL,0.00035639445
LTBP2,0.0003547539
CACNA1I,0.0003528842
CCDC178,0.00035063084
ABCC12,0.00035031367
WDR49,0.00034903522
MARCO,0.00034878182
CNGB3,0.00034787413
ABCB5,0.00034589195
ATP13A5,0.00034568543
PPARGC1A,0.00034107768
TRPV5,0.0003407221
NLRC5,0.00034045518
SEMA3A,0.00033949112
HELZ,0.00033949054
KIF26B,0.00033920142
CNTN5,0.00033881143
BNC2,0.0003343989
NUP210L,0.00033148547
NLRP14,0.0003287105
RGS22,0.00032832302
ROBO2,0.00032675784
FLT3,0.00032662126
CHL1,0.00032518207
DCC,0.00032479866
PMFBP1,0.00032451644
ASCC3,0.00032342816
KCNT1,0.0003228247
PLCE1,0.00032208665
SORL1,0.00032202617
FAM171A1,0.00032044467
PLEKHG4B,0.00031958547
SEMA5A,0.00031780193
SP140,0.00031706912
SIGLEC10,0.00031455874
MYH14,0.00031441648
SEMA3E,0.00030887386
PKP2,0.00030811853
BCL9,0.00030783218
CACNA1G,0.00030618478
CDH6,0.00030611336
CNTN4,0.00030304343
ARHGAP5,0.00030147488
ATG2B,0.00030124653
ZP4,0.0002987069
PLXNA1,0.00029638992
PRPF8,0.00029354365
ANO5,0.00029288605
POLE,0.00028776852
PCDH19,0.00028518884
MMRN1,0.00028425796
KAT6B,0.00028313955
TPTE2,0.0002828153
FLT4,0.00028257104
SLIT2,0.00028176056
SELP,0.00027856318
ROBO3,0.00027696416
FLNC,0.0002764058
CEP250,0.00026545368
SNTG1,0.00026401918
FBXL7,0.00026350678
CNTN6,0.00026322424
SLC4A10,0.00026243375
LAMB4,0.00026100568
ANO2,0.0002608808
TPR,0.00026081066
SPTAN1,0.00025992375
CLSTN2,0.000259571
PDE11A,0.0002587609
BCOR,0.00025829443
ACSM2B,0.0002581074
CGNL1,0.00025748496
OR8H2,0.00025611342
HELZ2,0.0002554973
ATP8A2,0.00025089376
SLC12A1,0.00024949817
GRIN3A,0.0002485211
CPED1,0.00024746364
SRGAP1,0.0002463085
ADCY10,0.0002448906
DSG1,0.00024299842
HEATR1,0.0002425191
OVCH1,0.00024035214
COL24A1,0.00023967843
PIWIL1,0.00023930287
PCDHA2,0.00023717835
STAB2,0.00023568742
MYH13,0.00023345818
CEP290,0.00023327603
SPAG17,0.00023050151
GPRC6A,0.0002289674
CCDC39,0.00022734789
EVC2,0.0002228601
OR4A15,0.00021971957
CELSR3,0.00021714547
ANKRD26,0.0002164213
SETBP1,0.00021471438
SIGLEC8,0.00021391487
CEP192,0.0002119043
FRY,0.0002102934
GREB1,0.00020999243
ST6GAL2,0.00020658552
CHRM2,0.00020643008
FGFR2,0.00020623032
PTPRO,0.00020621218
PDZRN3,0.00020490667
CHD5,0.00020421279
ARHGEF11,0.00020418418
SATB2,0.00020089396
ATP1A4,0.00020022516
NYAP2,0.0001986102
NPHS1,0.00019772694
DIDO1,0.00019724165
SEMA6D,0.00019683492
GABRA4,0.00019649552
ADAMTS3,0.00019646154
ACSM2A,0.00019480618
MYO5B,0.00019477519
LRRC66,0.00019329735
FN1,0.00019285224
ATP2B3,0.00019090656
COL15A1,0.00019026488
VWA8,0.00019022002
IL1RAPL1,0.00018976475
FAM71B,0.00018755229
ITPR3,0.00018747878
PAPPA,0.00018702708
SLC9A2,0.00018537344
PCDHB16,0.00018529105
COL3A1,0.00018513719
ZNF99,0.00018482278
LRRIQ1,0.00018293128
TNRC6B,0.00018037773
HGF,0.00018007123
CCT8L2,0.0001789537
IMPG1,0.0001788285
TMEM131,0.00017371913
XIRP1,0.00017302463
KDM5A,0.00017296826
EPPK1,0.00017271125
ZNF638,0.00017151966
COL19A1,0.00017074402
BIVM-ERCC5,0.0001702919
EGFLAM,0.00016884806
MYO3A,0.0001681327
NHS,0.00016747895
MAGI1,0.00016609399
LRRIQ3,0.00016523022
NLRP9,0.00016512236
COL27A1,0.00016311782
PTPN13,0.000160108
DGKI,0.00015757188
NME8,0.00015734602
SYNPO2,0.00015654384
MCF2L2,0.00015413896
MICAL2,0.00015320681
GOLGA3,0.00015313327
MTUS2,0.00015252188
PREX1,0.00015168363
ALK,0.0001500695
MYLK,0.00015000413
DDX60L,0.00014618128
INSR,0.00014472457
OR5T2,0.0001428031
ITIH6,0.0001421721
TCHHL1,0.00014090374
IGF2R,0.00014066434
JMJD1C,0.00014023672
OR2L3,0.00013993178
KCNU1,0.00013989043
MYH6,0.00013988634
MAP1B,0.00013857674
MAP3K4,0.000137654
SLITRK4,0.00013706533
MIA2,0.00013542025
TLL2,0.00013310259
COL5A1,0.00013296034
RUNX1T1,0.0001302943
FCRL1,0.0001298811
ELMO1,0.00012807215
ARHGAP21,0.00012679215
SGSM1,0.00012623073
TNS1,0.0001260767
ACSS3,0.00012518288
FGA,0.0001249817
ERC2,0.0001241636
TSHZ2,0.00012224204
KCNH8,0.00012103417
ATG2A,0.00012066874
KCNQ3,0.00012065119
BRWD1,0.00012037479
COL1A1,0.00012033
ATAD2,0.00011907376
PRKD1,0.00011855301
ADAM28,0.00011694091
UHRF1BP1L,0.000116702875
MYOM3,0.000116671734
ADAMTS19,0.00011549227
AGL,0.000113727976
NRG3,0.00011301864
GABRA1,0.00011270466
NRAP,0.00011064776
TEX14,0.00010689319
NSD1,0.00010595548
CTAGE1,0.000105611725
CDH12,0.00010454016
RIMBP2,0.00010448657
TRPC7,0.00010395048
SIGLEC1,0.00010144852
ABCA5,0.000101020945
AMPH,0.00010085615
ARFGEF3,0.00010082666
ZZEF1,0.00010002984
IL18RAP,9.866841e-05
IQGAP3,9.7552664e-05
C10orf71,9.703748e-05
PKDREJ,9.529602e-05
PCDHA12,9.499679e-05
INSRR,9.463152e-05
GPATCH8,9.4602176e-05
NDST4,9.282515e-05
SAMD9,9.174859e-05
BPTF,8.997177e-05
DLG2,8.88173e-05
NCKAP1L,8.766794e-05
CACNA2D3,8.709693e-05
TKTL2,8.589955e-05
NOTCH3,8.5570275e-05
SLC5A8,8.497536e-05
KCNH6,8.417914e-05
ABCA6,8.38565e-05
CHGB,8.3744475e-05
BOD1L1,8.322536e-05
MICAL3,8.3196246e-05
A2ML1,8.0946666e-05
NLRP11,7.927498e-05
RBP3,7.6794684e-05
GRID1,7.6179516e-05
KIAA1549L,7.5880234e-05
FLT1,7.371862e-05
OR4M1,7.3546005e-05
EPHA7,7.3365394e-05
ASXL2,7.319734e-05
CORIN,7.271024e-05
GUCY2C,7.117173e-05
XDH,7.109816e-05
ZNF98,7.0391885e-05
NTRK3,6.8375506e-05
ITGA4,6.824787e-05
DPP6,6.768844e-05
NLRP1,6.762309e-05
PDE10A,6.682334e-05
KDM5B,6.6592664e-05
VPS13D,6.607449e-05
LIFR,6.604302e-05
PRG4,6.574469e-05
KANSL1,6.55489e-05
ZIM3,6.484861e-05
AFDN,6.465989e-05
PTPRH,6.392753e-05
MYO18A,6.384848e-05
TDRD6,6.383056e-05
USP29,6.273576e-05
MYH9,6.272801e-05
ABCC8,6.133692e-05
F13B,6.0190276e-05
PLCL2,5.936326e-05
KDM3B,5.885343e-05
DOCK8,5.8681286e-05
ABCC11,5.8452533e-05
FRYL,5.7846853e-05
ADGRB1,5.783618e-05
PARD3B,5.7657635e-05
PCDHGA8,5.6443438e-05
SPAM1,5.5892913e-05
ATP1A2,5.5132867e-05
FAM83B,5.4401116e-05
MKRN3,5.337854e-05
CDH20,5.331189e-05
ACACA,5.308097e-05
NOVA1,5.1275496e-05
TRIO,5.061765e-05
SRGAP3,5.0587183e-05
ITIH2,5.038746e-05
DOCK7,4.958223e-05
MYOM1,4.921874e-05
PXDN,4.866334e-05
PLXND1,4.835579e-05
CHD8,4.7858168e-05
FRMPD2,4.7599788e-05
DGKB,4.6901663e-05
NPC1L1,4.6890178e-05
EML5,4.5339515e-05
FRMPD3,4.506977e-05
WNK2,4.5017892e-05
CWH43,4.4432174e-05
LRP12,4.4000753e-05
OR2M5,4.3806776e-05
ROCK1,4.3222026e-05
XRN1,4.2630083e-05
SLCO5A1,4.2137402e-05
EPHA6,4.1972904e-05
NELL1,4.1586958e-05
CLCA4,4.1133604e-05
DSC1,4.1122217e-05
BMPER,4.0991275e-05
TANC2,4.013036e-05
PLCL1,4.01284e-05
SLIT1,3.9372473e-05
GUCY1A2,3.8226906e-05
ITGAX,3.7531125e-05
PRRC2C,3.7310558e-05
SHANK1,3.70857e-05
PLXNA3,3.5894325e-05
CDH11,3.5389538e-05
CR2,3.5243935e-05
SLC44A5,3.4356337e-05
OR2T12,3.319873e-05
ZNF711,3.275918e-05
GABRA2,3.2604243e-05
PCDHA4,3.2088003e-05
RAD51AP2,3.175135e-05
RPTN,3.0131268e-05
USP26,3.0008547e-05
CDH4,2.9887726e-05
CEP350,2.9798317e-05
RALGAPB,2.9030643e-05
TTBK1,2.8963324e-05
PPP4R4,2.8866638e-05
ZNF91,2.7865217e-05
NUP205,2.7694834e-05
ARMC4,2.7114918e-05
ABCC9,2.6812599e-05
ITGAD,2.6660335e-05
LVRN,2.6548147e-05
MDGA2,2.6406688e-05
MARK1,2.6392647e-05
SHANK2,2.6237813e-05
RASAL2,2.6087957e-05
THOC2,2.5921521e-05
TRPC4,2.588675e-05
ATP1A3,2.5450096e-05
DUOX2,2.4796482e-05
POSTN,2.450415e-05
OR2M3,2.374485e-05
ABCA10,2.1577644e-05
TP63,2.116106e-05
TRPM8,2.090953e-05
SLC12A5,2.0810565e-05
TET3,2.0425978e-05
COL28A1,1.97294e-05
MAGEL2,1.9373945e-05
WDR7,1.916985e-05
ANKS1B,1.9124469e-05
CADPS,1.8867848e-05
AKAP13,1.8815217e-05
GRM6,1.8170724e-05
LEPR,1.8094152e-05
PCDHGA6,1.7279057e-05
NWD1,1.6890981e-05
OR6K2,1.6289843e-05
CEP128,1.4847472e-05
KIF1A,1.41493965e-05
ZBTB20,1.3963431e-05
ZEB2,1.3048672e-05
PCDHB4,1.2933023e-05
ATP2B2,1.2900527e-05
SCN4A,1.2834041e-05
PKD1,1.281781e-05
AOX1,1.1943097e-05
LAMB1,1.128537e-05
HIVEP2,8.469154e-06
C2orf16,7.899645e-06
PCDHGA1,7.196438e-06
CFAP65,5.047562e-06
SLC27A6,0.0
SALL4,0.0
ROBO4,0.0
SLC4A3,0.0
PCNX1,0.0
PCF11,0.0
PCDHGB3,0.0
PCDHGA4,0.0
PDE1C,0.0
PDZRN4,0.0
PLA2R1,0.0
PIKFYVE,0.0
POTEE,0.0
PLEKHH2,0.0
POTEF,0.0
PPP1R9A,0.0
PTCHD3,0.0
PTCHD4,0.0
SLX4,0.0
SMARCA2,0.0
NUP98,0.0
SPG11,0.0
OR4Q3,0.0
NUTM1,0.0
OR2L13,0.0
OR2G6,0.0
PCDHB13,0.0
PCDHB10,0.0
PCDHA11,0.0
PCDHA13,0.0
PASD1,0.0
PCDHAC1,0.0
PCARE,0.0
PCDHB9,0.0
PCDH9,0.0
PCDHB1,0.0
MEGF10,0.0
SYCP1,0.0
MUC5AC,0.0
NCAM1,0.0
NLRP10,0.0
NID2,0.0
NID1,0.0
RGS7,0.0
PYHIN1,0.0
PZP,0.0
PROS1,0.0
PROX1,0.0
RALGAPA1,0.0
RET,0.0
PTPRR,0.0
PTPRU,0.0
SLCO1C1,0.0
SLCO1B3,0.0
SLC5A7,0.0
A2M,0.0
SHROOM3,0.0
SIPA1L1,0.0
SEMA3D,0.0
SHROOM4,0.0
SLC17A6,0.0
ROR2,0.0
ZSWIM2,0.0
ZNF676,0.0
SLC14A2,0.0
ABCA7,0.0
ZNF560,0.0
ABCB11,0.0
TIAM2,0.0
THEMIS,0.0
ITGB4,0.0
TET1,0.0
KCND2,0.0
KCNJ3,0.0
KCNQ5,0.0
KATNIP,0.0
KIF13A,0.0
KIDINS220,0.0
KIAA0319,0.0
KIF1B,0.0
LRFN2,0.0
LMO7,0.0
LHCGR,0.0
KNTC1,0.0
MGAT4C,0.0
MDC1,0.0
LY75,0.0
MAGEC2,0.0
LILRB1,0.0
LRRTM4,0.0
NUP210,0.0
NLRP5,0.0
NFASC,0.0
GABRB3,0.0
HCFC1,0.0
IGSF9B,0.0
HFM1,0.0
HEPHL1,0.0
GRM7,0.0
IL7R,0.0
TRIM58,0.0
TRIM42,0.0
TRERF1,0.0
TP53BP1,0.0
FGD5,0.0
TOGARAM1,0.0
FCRL5,0.0
EPHB6,0.0
DSEL,0.0
DSC2,0.0
ENAM,0.0
DNAJC13,0.0
ELOA2,0.0
EPRS1,0.0
EYA4,0.0
EFCAB6,0.0
CR1,0.0
GABRG2,0.0
GIMAP8,0.0
GALNT13,0.0
FLNB,0.0
FLRT2,0.0
FREM1,0.0
GPC5,0.0
FCRL3,0.0
HEATR5B,0.0
HECTD1,0.0
GRIK1,0.0
GRIK2,0.0
GRIK3,0.0
TNRC6A,0.0
GTF3C1,0.0
CFHR5,0.0
CFAP43,0.0
UGT2B15,0.0
UGT2B28,0.0
TUBA3C,0.0
CHRM3,0.0
CIT,0.0
TSPOAP1,0.0
COL4A3,0.0
COL4A2,0.0
COL20A1,0.0
COBL,0.0
DCAF8L1,0.0
DLGAP3,0.0
TRPC3,0.0
CDK5RAP2,0.0
CARD6,0.0
CACNA2D4,0.0
CASZ1,0.0
CASR,0.0
C7,0.0
CACNA1S,0.0
BRINP1,0.0
CFTR,0.0
CDH2,0.0
CD109,0.0
CECR2,0.0
UNC45B,0.0
USP24,0.0
VCAM1,0.0
CDH8,0.0
CHAT,0.0
ATP12A,0.0
ATP10D,0.0
VIRMA,0.0
BNC1,0.0
AXDND1,0.0
BCHE,0.0
C12orf40,0.0
BTBD11,0.0
C2orf78,0.0
ASAH2,0.0
ARHGAP31,0.0
ANKFN1,0.0
ANO3,0.0
ANKRD17,0.0
ARPP21,0.0
ATP13A4,0.0
AKAP11,0.0
YLPM1,0.0
AMER3,0.0
ALMS1,0.0
ADCY5,0.0
ADGRE1,0.0
AGBL1,0.0
AMPD1,0.0
ADAM7,0.0
ADAMTS6,0.0
ADAMTSL1,0.0
ADAMTS9,0.0
ADAMTSL3,0.0
ACAN,0.0
ADAM2,0.0
ZNF318,0.0
